," ""Frames""","""Bytes""","""AVG""","""Frames_src""","""Bytes_src""","""AVG_src""","""Frames_dst""","""Bytes_dst""","""AVG_dst"""
1934,1940,144556,163,951,66903,163,989,77653,163
1935,1920,139848,153,944,63871,153,976,75977,153
1936,1941,143685,155,952,66504,155,989,77181,155
1937,1888,138234,154,930,63240,154,958,74994,154
1938,2003,149511,156,980,68926,156,1023,80585,156
1939,1906,138319,156,939,63312,156,967,75007,156
1940,1945,143878,164,954,66561,164,991,77317,164
1941,1895,137723,159,933,63019,159,962,74704,159
1942,1953,144288,156,958,66733,156,995,77555,156
1943,1905,139093,154,938,63553,154,967,75540,154
1944,1968,146851,155,963,67777,155,1005,79074,155
1945,1927,139390,152,949,63707,152,978,75683,152
1946,1897,142351,155,929,65940,155,968,76411,155
1947,1912,138616,154,941,63355,154,971,75261,154
1948,1957,148143,153,956,69344,153,1001,78799,153
1949,1884,137983,153,928,63108,153,956,74875,153
1950,1921,142693,155,942,66088,155,979,76605,155
1951,1893,138529,159,931,63373,159,962,75156,159
1952,1917,142447,164,940,65980,164,977,76467,164
1953,1901,138914,155,934,63452,155,967,75462,155
1954,1939,143583,152,951,66463,152,988,77120,152
1955,1911,139362,156,941,63655,156,970,75707,156
1956,0,0,154,0,0,154,0,0,154
1957,0,0,163,0,0,163,0,0,163
1958,0,0,153,0,0,153,0,0,153
1959,0,0,155,0,0,155,0,0,155
1960,0,0,154,0,0,154,0,0,154
1961,0,0,156,0,0,156,0,0,156
1962,0,0,156,0,0,156,0,0,156
1963,0,0,164,0,0,164,0,0,164
1964,0,0,159,0,0,159,0,0,159
1965,0,0,156,0,0,156,0,0,156
1966,0,0,154,0,0,154,0,0,154
1967,0,0,155,0,0,155,0,0,155
1968,0,0,152,0,0,152,0,0,152
1969,0,0,155,0,0,155,0,0,155
1970,0,0,154,0,0,154,0,0,154
1971,0,0,153,0,0,153,0,0,153
1972,0,0,153,0,0,153,0,0,153
1973,0,0,155,0,0,155,0,0,155
1974,0,0,159,0,0,159,0,0,159
1975,0,0,164,0,0,164,0,0,164
1976,0,0,155,0,0,155,0,0,155
1977,0,0,152,0,0,152,0,0,152
1978,0,0,156,0,0,156,0,0,156
1979,161,34628,154,75,8742,154,86,25886,154
1980,0,0,163,0,0,163,0,0,163
1981,0,0,153,0,0,153,0,0,153
1982,0,0,155,0,0,155,0,0,155
1983,0,0,154,0,0,154,0,0,154
1984,0,0,156,0,0,156,0,0,156
1985,0,0,156,0,0,156,0,0,156
1986,0,0,164,0,0,164,0,0,164
1987,0,0,159,0,0,159,0,0,159
1988,0,0,156,0,0,156,0,0,156
1989,0,0,154,0,0,154,0,0,154
1990,0,0,155,0,0,155,0,0,155
1991,0,0,152,0,0,152,0,0,152
1992,0,0,155,0,0,155,0,0,155
1993,161,34627,154,75,8742,154,86,25885,154
1994,0,0,153,0,0,153,0,0,153
1995,0,0,153,0,0,153,0,0,153
1996,0,0,155,0,0,155,0,0,155
1997,0,0,159,0,0,159,0,0,159
1998,0,0,164,0,0,164,0,0,164
1999,0,0,155,0,0,155,0,0,155
2000,0,0,152,0,0,152,0,0,152
2001,0,0,156,0,0,156,0,0,156
